CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0107,0.9999992926190128
C0001,C0188,0.9999994423718478
C0001,C0024,0.9999994643475854
C0002,C0076,0.9999964866952864
C0002,C0019,0.9999974338156974
C0002,C0129,0.9999982546416281
C0003,C0064,0.9999974456387755
C0003,C0189,0.999997766248329
C0003,C0179,0.999998622887472
C0004,C0143,0.9999995071916168
C0004,C0113,0.9999995203219817
C0004,C0045,0.9999996877560338
C0005,C0191,0.9999859652840523
C0005,C0089,0.9999920454279918
C0005,C0132,0.9999939835395406
C0006,C0168,0.9999992470797157
C0006,C0011,0.9999997105597569
C0006,C0152,0.9999998009396031
C0007,C0191,0.9999965808884101
C0007,C0061,0.9999993376604821
C0007,C0085,0.9999994628695896
C0008,C0105,0.9999983773308166
C0008,C0108,0.9999983817395338
C0008,C0162,0.9999992581920765
C0009,C0015,0.9997210254921186
C0009,C0080,0.9999964424853568
C0009,C0020,0.9999966043420317
C0010,C0027,0.9999950823493694
C0010,C0030,0.9999962469240306
C0010,C0047,0.9999966555249078
C0011,C0182,0.9999993510766927
C0011,C0006,0.9999997105597569
C0011,C0152,0.9999997672324599
C0012,C0039,0.9999995860400867
C0012,C0046,0.9999998293240675
C0012,C0093,0.9999998701202025
C0013,C0018,0.9999996288860186
C0013,C0105,0.9999998642126424
C0013,C0108,0.9999999159631937
C0014,C0078,0.9999865529494979
C0014,C0130,0.9999906024793485
C0014,C0150,0.9999908690534692
C0015,C0080,0.9997219419765871
C0015,C0020,0.9997228546273469
C0015,C0083,0.9999851527788494
C0016,C0092,0.9999986628969022
C0016,C0158,0.9999991787469682
C0016,C0040,0.9999992235557416
C0017,C0102,0.9999990091670494
C0017,C0053,0.9999992917201336
C0017,C0136,0.9999993370142267
C0018,C0162,0.9999996788357219
C0018,C0105,0.9999996815730607
C0018,C0108,0.9999997348675727
C0019,C0002,0.9999974338156974
C0019,C0116,0.9999974703495701
C0019,C0088,0.9999981800977296
C0020,C0015,0.9997228546273469
C0020,C0009,0.9999966043420317
C0020,C0080,0.9999989900732615
